Processor Pool Total:  820154608 Used:  353748464 Free:  466406144

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
  36   0          0          0      25864          0          0 IPC Session Deta
  37   0          0          0      25864          0          0 Graceful Reload 
 240   0          0          0      25864          0          0 BD Route Msg Hol
 226   0          0          0      25864          0          0 IPC UDP Input   
  78   0          0          0      25864          0          0 HQF BLT UPDATE  
  25   0          0          0      25864          0          0 IPC Service NonC
 243   0          0          0      25864          0          0 EVPN DEL BLABEL 
  28   0          0          0      25864          0          0 IPC Deferred Por
  23   0          0          0      25864          0          0 IPC Mcast Pendin
 258   0        448        448      25864          0          0 SRv6FIB pak hndl
 166   0          0          0      25864          0          0 FRR Background P
  22   0          0          0      25864          0          0 IPC Event Notifi
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 174   0        448        448      25864          0          0 PPP Compress Inp
 165   0        448        448      25864          0          0 ATIP_UDP_TSK    
 263   0        448        448      25864          0          0 ENABLE AAA      
 264   0          0          0      25864          0          0 EM Background Pr
  26   0          0          0      25864          0          0 IPC Zone Manager
 162   0          0          0      25864          0          0 ip_traceroute_ex
  63   0          0          0      25864          0          0 AAA ACCT Proc   
 161   0          0          0      25864          0          0 IP ping exec pro
 269   0          0          0      25864          0          0 Key chain liveke
 270   0        448        448      25864          0          0 LINE AAA        
 216   0        448        448      25864          0          0 RBSCP Background
  24   0          0          0      25864          0          0 IPC Dynamic Cach
  29   0          0          0      25864          0          0 IPC Process leve
  19   0        448        448      25864          0          0 PrstVbl         
 222   0          0          0      25864          0          0 Select Timers   
  18   0          0          0      25864          0          0 Entity MIB API  
  70   0        448        448      25864          0          0 AAA Dictionary R
 279   0          0          0      25864          0          0 IDMGR CORE      
 158   0        448        448      25864          0          0 Ether EFP Proces
 281   0          0          0      25864          0          0 EAP Process     
 261   0        448        448      25864          0          0 AAA Cached Serve
 283   0        448        448      25864          0          0 Crypto Support  
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
  31   0          0          0      25864          0          0 IPC Check Queue 
 202   0          0          0      25864          0          0 RARP Input      
  38   0          0          0      25864          0          0 CEF MIB API     
  15   0          0          0      25864          0          0 AAA_SERVER_DEADT
 154   0          0          0      25864          0          0 AAA response han
 153   0          0          0      25864          0          0 Timed Policy act
 152   0          0          0      25864          0          0 Prepaid response
 151   0          0          0      25864          0          0 Timer handler fo
 148   0          0          0      25864          0          0 RADIUS Proxy    
 163   0          0          0      25864          0          0 IP Traceroute   
 294   0          0          0      25864          0          0 iosp_eem_global_
 146   0          0          0      25864          0          0 PM EPD API      
 145   0          0          0      25864          0          0 AAA EPD HANDLER 
 297   0          0          0      25864          0          0 LS LIB          
  39   0        448        448      25864          0          0 Serial Backgroun
  14   0          0          0      25864          0          0 ATM ASYNC PROC  
 300   0          0          0      25864          0          0 IKEv2 AAA handle
 301   0        448       1096      25864          0          0 CRYPTO MAP FREE 
  40   0        448        448      25864          0          0 GraphIt         
 140   0          0          0      25864          0          0 O-UNI Client Msg
  13   0        448        448      25864          0          0 ATM Idle Timer  
 139   0        448        448      25864          0          0 OCE punted Pkts 
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 136   0        448        448      25864          0          0 IPAM/ODAP Events
  12   0       7760       7760      25864          0          0 ARP Background  
 308   0          0          0      25864          0          0 Crypto PAS Proc 
 132   0        448        448      25864          0          0 IP PORTBUNDLE   
 310   0        448        448      25864          0          0 GKM GM Process  
 211   0        448        448      25864          0          0 PPP NBF         
 312   0        448        896      25864          0          0 AAA SEND STOP EV
 131   0          0          0      25864          0          0 IP Lite session 
 130   0          0          0      25864          0          0 ISG CMD HANDLER 
 128   0          0          0      25864          0          0 EAP Test        
 127   0          0          0      25864          0          0 EAP Framework   
  50   0          0          0      25864          0          0 CPUHOG process  
  10   0          0          0      25864          0          0 MEMLEAK PROCESS 
 126   0          0          0      25864          0          0 ctsmanual_config
  44   0          0          0      25864          0          0 Critical Bkgnd  
 122   0          0          0      25864          0          0 AC Switch       
  84   0          0          0      25864          0          0 ICMP event handl
 323   0          0          0      25864          0          0 Syslog Traps    
 324   0        448        448      25864          0          0 ICRM            
 325   0        448        448      25864          0          0 DAPR RM PROCESS 
 218   0          0          0      25864          0          0 SNMP Timers     
 213   0          0          0      25864          0          0 PAD InCall      
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
  62   0        448        448      25864          0          0 AAA Server      
 117   0          0          0      25864          0          0 TOPO GR Process 
